OPP CUST - Final Customer,Amount,Pipeline 2022 (k$),Pipeline 2023 (k$),Pipeline 2024 (k$),Pipeline 2025 (k$),Pipeline 2026 (k$),Weighted 2021 (k$),PROD - Product name(new) ,INFO - Sales Region,Services Value (k$) 2021,Services Value (k$) 2022,Services Value (k$) 2023,Services Value (k$) 2024,Services Value (k$) 2025,Services Value (k$) 2026,Deal owner,Pipeline 2026 (k$)2,Weighted 2021 (k$)3,Weighted 2023 (k$),INFO - Sales Region4,Pipeline 2021 (k$),Deal Stage,Weighted 2022 (k$),Amount5,Pipeline 2025 (k$)6,Deal Stage7,Deal ID
6DOT50,2114,0,24,140,650,1300,0,VIC155,EMEA,0,0,0,0,0,0,franck buonanno,1300,0,12,EMEA,0,Design In,0,2114,650,Design In,8195877385
AB Circle,1584.33,454.5,600,0,57,57,415.83,SCR200,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,57,415.83,600,APAC,415.83,Closed Won,454.5,1584.33,57,Closed Won,5676039535
ACLAS,135,0,15,40,40,40,0,VIC408,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,40,0,1.5,APAC,0,Identified,0,135,40,Identified,9185783055
ADNOC,287.55,10.65,42.6,106.5,127.8,0,0,MS6003,EMEA,0,0,0,0,0,0,franck buonanno,0,0,21.3,EMEA,0,Design In,5.325,287.55,127.8,Design In,8099725989
Actia Automotive,37.68,9.42,9.42,9.42,0,0,9.42,VIC420,EMEA,0,0,0,0,0,0,franck buonanno,0,9.42,9.42,EMEA,9.42,Closed Won,9.42,37.68,0,Closed Won,5783209370
Advanced Card System,854.28,141.12,147,141.12,141.12,141.12,142.8,SCR200,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,141.12,142.8,147,APAC,142.8,Closed Won,141.12,854.28,141.12,Closed Won,5676022198
Advanced Card System,408,3,30,125,125,125,0,MS6003,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,125,0,3,APAC,0,Identified,0.3,408,125,Identified,8414953506
Advantech,600,0,300,100,100,100,0,INES,APAC,0,0,300,100,100,100,KATSUNORI MIYAHATA,100,0,30,APAC,0,Identified,0,600,100,Identified,7294552164
Aiseed Technology,52.5,0,7.5,15,15,15,0,VIC405 1.2.5,APAC,0,0,0,0,0,0,Will Pan,15,0,0.75,APAC,0,Identified,0,52.5,15,Identified,8521443594
Alberen,507,0,22,105,190,190,0,MS6003,EMEA,0,0,0,0,0,0,franck buonanno,190,0,4.4,EMEA,0,Qualified,0,507,190,Qualified,7842050145
Alpha Web3,74.3,0,10,16.3,23,25,0,VIC155,EMEA,0,0,5,10,15,10,franck buonanno,25,0,5,EMEA,0,Design In,0,74.3,23,Design In,10779713562
